x_mm,M_xz_Nmm,M_xy_Nmm,M_Nmm,V_xz_N,V_xy_N,V_N,v_xz_mm,v_xy_mm,v_mm,T_Nm,d_mm,W_mm3,Wt_mm3,sigma_b_MPa,tau_MPa
0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,-0.0000000001,0.0000000001,0.0000000002,-0.0006991019,-0.0002544523,0.0007439687,-32.9286089156,30.0000000000,2650.7188014664,5301.4376029328,0.0000000000,-6.2112602999
10.0000000000,0.0000000009,-0.0000000013,0.0000000016,-0.0000000001,0.0000000001,0.0000000002,0.0000000000,0.0000000000,0.0000000000,-32.9286089156,30.0000000000,2650.7188014664,5301.4376029328,0.0000000000,-6.2112602999
30.0000000000,-16464.3044577852,-5992.5167505300,17520.9468432510,823.2152228893,299.6258375264,876.0473421626,0.0012648433,0.0004603653,0.0013460181,-32.9286089156,50.0000000000,12271.8463030851,24543.6926061703,1.4277351924,-1.3416322248
92.5000000000,-67915.2558883691,-24719.1315959386,72273.9057284162,823.2152228893,299.6258375265,876.0473421626,0.0033501727,0.0012193631,0.0035651793,-32.9286089156,50.0000000000,12271.8463030851,24543.6926061703,5.8894076689,-1.3416322248
100.0000000000,-74089.3700600304,-26966.3253773861,78844.2607946272,823.2152228896,299.6258375263,876.0473421628,0.0033820729,0.0012309739,0.0035991268,0.0000000000,50.0000000000,12271.8463030851,24543.6926061703,6.4248083660,0.0000000000
107.5000000000,-67915.2558883652,-24719.1315959366,72273.9057284118,-823.2152228886,-299.6258375267,876.0473421620,0.0033501727,0.0012193631,0.0035651793,0.0000000000,50.0000000000,12271.8463030851,24543.6926061703,5.8894076689,0.0000000000
170.0000000000,-16464.3044577849,-5992.5167505300,17520.9468432507,-823.2152228892,-299.6258375265,876.0473421625,0.0012648433,0.0004603653,0.0013460181,0.0000000000,30.0000000000,2650.7188014664,5301.4376029328,6.6098851502,0.0000000000
190.0000000000,0.0000000001,0.0000000000,0.0000000001,-823.2152228892,-299.6258375265,876.0473421625,0.0000000000,0.0000000000,0.0000000000,0.0000000000,30.0000000000,2650.7188014664,5301.4376029328,0.0000000000,0.0000000000
200.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0006991019,-0.0002544523,0.0007439687,0.0000000000,30.0000000000,2650.7188014664,5301.4376029328,0.0000000000,0.0000000000
