x_mm,M_xz_Nmm,M_xy_Nmm,M_Nmm,V_xz_N,V_xy_N,V_N,v_xz_mm,v_xy_mm,v_mm,T_Nm,d_mm,W_mm3,Wt_mm3,sigma_b_MPa,tau_MPa
0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0.0000000003,-0.0000000021,0.0000000021,0.0002820442,-0.0007749102,0.0008246422,0.0000000000,30.0000000000,2650.7188014664,5301.4376029328,0.0000000000,0.0000000000
10.0000000000,-0.0000000031,0.0000000207,0.0000000209,0.0000000003,-0.0000000021,0.0000000021,0.0000000000,0.0000000000,0.0000000000,0.0000000000,30.0000000000,2650.7188014664,5301.4376029328,0.0000000000,0.0000000000
30.0000000000,5326.6815560223,-14634.9372957907,15574.1749717600,-266.3340778013,731.7468647906,778.7087485890,-0.0005209425,0.0014312777,0.0015231340,0.0000000000,50.0000000000,12271.8463030851,24543.6926061703,1.2690979488,0.0000000000
142.5000000000,35289.2653086608,-96956.4595846943,103178.9091879901,-266.3340778012,731.7468647903,778.7087485887,-0.0014398700,0.0039560104,0.0042098983,0.0000000000,50.0000000000,12271.8463030851,24543.6926061703,8.4077739111,0.0000000000
150.0000000000,37286.7708921675,-102444.5610706061,109019.2248023904,-266.3340778011,731.7468647892,778.7087485876,-0.0013171294,0.0036187833,0.0038510288,-131.7144356623,50.0000000000,12271.8463030851,24543.6926061703,8.8836856419,-5.3665288991
157.5000000000,30295.5013498850,-83236.2058698684,88578.1201519427,932.1692723040,-2561.1140267663,2725.4806200608,-0.0011626897,0.0031944636,0.0033994771,-131.7144356623,50.0000000000,12271.8463030851,24543.6926061703,7.2179945840,-5.3665288991
170.0000000000,18643.3854460833,-51222.2805353012,54509.6124011933,932.1692723042,-2561.1140267653,2725.4806200599,-0.0008487176,0.0023318325,0.0024814843,-131.7144356623,30.0000000000,2650.7188014664,5301.4376029328,20.5640871340,-24.8450411997
190.0000000000,-0.0000000001,0.0000000002,0.0000000002,932.1692723041,-2561.1140267651,2725.4806200597,0.0000000000,0.0000000000,0.0000000000,-131.7144356623,30.0000000000,2650.7188014664,5301.4376029328,0.0000000000,-24.8450411997
200.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0004998643,-0.0013733657,0.0014615053,-131.7144356623,30.0000000000,2650.7188014664,5301.4376029328,0.0000000000,-24.8450411997
