x_mm,M_xz_Nmm,M_xy_Nmm,M_Nmm,V_xz_N,V_xy_N,V_N,v_xz_mm,v_xy_mm,v_mm,T_Nm,d_mm,W_mm3,Wt_mm3,sigma_b_MPa,tau_MPa
0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0.0003160315,-0.0008682894,0.0009240143,0.0000000000,30.0000000000,2650.7188014664,5301.4376029328,0.0000000000,0.0000000000
10.0000000000,0.0000000001,0.0000000001,0.0000000001,-0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,30.0000000000,2650.7188014664,5301.4376029328,0.0000000000,0.0000000000
30.0000000000,5326.6815560257,-14634.9372958062,15574.1749717757,-266.3340778013,731.7468647903,778.7087485888,-0.0006741303,0.0018521578,0.0019710251,0.0000000000,50.0000000000,12271.8463030851,24543.6926061703,1.2690979488,0.0000000000
142.5000000000,35289.2653086717,-96956.4595847184,103178.9091880165,-266.3340778013,731.7468647903,778.7087485888,-0.0016940540,0.0046543750,0.0049530824,0.0000000000,50.0000000000,12271.8463030851,24543.6926061703,8.4077739111,0.0000000000
150.0000000000,37286.7708921814,-102444.5610706459,109019.2248024326,-266.3340778013,731.7468647903,778.7087485888,-0.0016110725,0.0044263853,0.0047104608,-131.7144356623,50.0000000000,12271.8463030851,24543.6926061703,8.8836856419,-5.3665288991
157.5000000000,30295.5013498974,-83236.2058699002,88578.1201519768,932.1692723045,-2561.1140267661,2725.4806200608,-0.0014321827,0.0039348896,0.0041874221,-131.7144356623,50.0000000000,12271.8463030851,24543.6926061703,7.2179945841,-5.3665288991
170.0000000000,18643.3854460907,-51222.2805353233,54509.6124012166,932.1692723045,-2561.1140267662,2725.4806200608,-0.0010789896,0.0029644995,0.0031547545,-131.7144356623,30.0000000000,2650.7188014664,5301.4376029328,20.5640871340,-24.8450411997
190.0000000000,0.0000000000,-0.0000000000,0.0000000000,932.1692723045,-2561.1140267662,2725.4806200608,0.0000000000,0.0000000000,0.0000000000,-131.7144356623,30.0000000000,2650.7188014664,5301.4376029328,0.0000000000,-24.8450411997
200.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004658770,-0.0012799865,0.0013621332,-131.7144356623,30.0000000000,2650.7188014664,5301.4376029328,0.0000000000,-24.8450411997
