x_mm,M_xz_Nmm,M_xy_Nmm,M_Nmm,V_xz_N,V_xy_N,V_N,v_xz_mm,v_xy_mm,v_mm,T_Nm,d_mm,W_mm3,Wt_mm3,sigma_b_MPa,tau_MPa
0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0006991019,-0.0002544523,0.0007439687,-32.9286089156,30.0000000000,2650.7188014664,5301.4376029328,0.0000000000,-6.2112602999
10.0000000000,-0.0000000002,-0.0000000001,0.0000000002,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-32.9286089156,30.0000000000,2650.7188014664,5301.4376029328,0.0000000000,-6.2112602999
30.0000000000,-16464.3044577823,-5992.5167505291,17520.9468432480,823.2152228891,299.6258375265,876.0473421624,0.0015282301,0.0005562303,0.0016263085,-32.9286089156,50.0000000000,12271.8463030851,24543.6926061703,1.4277351924,-1.3416322248
92.5000000000,-67915.2558883517,-24719.1315959325,72273.9057283977,823.2152228891,299.6258375265,876.0473421624,0.0037211594,0.0013543913,0.0039599751,-32.9286089156,50.0000000000,12271.8463030851,24543.6926061703,5.8894076689,-1.3416322248
100.0000000000,-74089.3700600200,-26966.3253773808,78844.2607946156,823.2152228891,299.6258375265,876.0473421624,0.0037971630,0.0013820543,0.0040408564,0.0000000000,50.0000000000,12271.8463030851,24543.6926061703,6.4248083660,0.0000000000
107.5000000000,-67915.2558883516,-24719.1315959325,72273.9057283976,-823.2152228891,-299.6258375265,876.0473421624,0.0037211594,0.0013543913,0.0039599751,0.0000000000,50.0000000000,12271.8463030851,24543.6926061703,5.8894076689,0.0000000000
170.0000000000,-16464.3044577823,-5992.5167505291,17520.9468432480,-823.2152228891,-299.6258375265,876.0473421624,0.0015282301,0.0005562303,0.0016263085,0.0000000000,30.0000000000,2650.7188014664,5301.4376029328,6.6098851502,0.0000000000
190.0000000000,0.0000000000,0.0000000000,0.0000000000,-823.2152228891,-299.6258375265,876.0473421624,0.0000000000,0.0000000000,0.0000000000,0.0000000000,30.0000000000,2650.7188014664,5301.4376029328,0.0000000000,0.0000000000
200.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.0006991019,-0.0002544523,0.0007439687,0.0000000000,30.0000000000,2650.7188014664,5301.4376029328,0.0000000000,0.0000000000
