shaft,d,E,L,Phi,lam,n_elem,integration_method,rw_numeric,rw_theory,abs_err,rel_err
shaft_A_steel_d20,20.0,210000.0,2966.4793948382653,9.999999999999999e-05,173.20508075688775,1,single_point,0.7500250000017425,0.750025,1.7424950371491832e-12,2.3232492745564254e-12
shaft_A_steel_d20,20.0,210000.0,2966.4793948382653,9.999999999999999e-05,173.20508075688775,1,exact,9.9992500749925e-05,9.999250074992499e-05,1.3552527156068805e-20,1.355354357019516e-16
shaft_A_steel_d20,20.0,210000.0,2966.4793948382653,9.999999999999999e-05,173.20508075688775,2,single_point,0.937524999993297,0.937525,6.703082533476845e-12,7.149764042000848e-12
shaft_A_steel_d20,20.0,210000.0,2966.4793948382653,9.999999999999999e-05,173.20508075688775,2,exact,0.00039985005997600825,0.00039985005997600955,1.3010426069826053e-18,3.253826214408136e-15
shaft_A_steel_d20,20.0,210000.0,2230.235291229305,0.0001769217817943499,130.21768645903356,1,single_point,0.7500442304460648,0.7500442304454485,6.162848009694244e-13,8.216646111702174e-13
shaft_A_steel_d20,20.0,210000.0,2230.235291229305,0.0001769217817943499,130.21768645903356,1,exact,0.00017689830995937394,0.0001768983099593738,1.3552527156068805e-19,7.661196514077076e-16
shaft_A_steel_d20,20.0,210000.0,2230.235291229305,0.0001769217817943499,130.21768645903356,2,single_point,0.9375442304511336,0.9375442304454485,5.6850080198955766e-12,6.063722473332805e-12
shaft_A_steel_d20,20.0,210000.0,2230.235291229305,0.0001769217817943499,130.21768645903356,2,exact,0.0007072179394624069,0.0007072179394624064,4.336808689942018e-19,6.132209673921244e-16
shaft_A_steel_d20,20.0,210000.0,1676.7180189754354,0.0003130131687328754,97.89924055717326,1,single_point,0.7500782532932841,0.7500782532921833,1.1008971512183052e-12,1.4677097307998676e-12
shaft_A_steel_d20,20.0,210000.0,1676.7180189754354,0.0003130131687328754,97.89924055717326,1,exact,0.00031293970879395363,0.0003129397087939536,5.421010862427522e-20,1.7322860314914e-16
shaft_A_steel_d20,20.0,210000.0,1676.7180189754354,0.0003130131687328754,97.89924055717326,2,single_point,0.9375782532906052,0.9375782532921833,1.5780710072021975e-12,1.683135249416257e-12
shaft_A_steel_d20,20.0,210000.0,1676.7180189754354,0.0003130131687328754,97.89924055717326,2,exact,0.0012505848540635429,0.0012505848540635427,2.168404344971009e-19,1.7339122074965027e-16
shaft_A_steel_d20,20.0,210000.0,1260.5770010962717,0.0005537884753731581,73.60183982908099,1,single_point,0.7501384471193226,0.7501384471188433,4.793943020331426e-13,6.390744320257363e-13
shaft_A_steel_d20,20.0,210000.0,1260.5770010962717,0.0005537884753731581,73.60183982908099,1,exact,0.000553558591423648,0.0005535585914236478,2.168404344971009e-19,3.9172083652324567e-16
shaft_A_steel_d20,20.0,210000.0,1260.5770010962717,0.0005537884753731581,73.60183982908099,2,single_point,0.9376384471188156,0.9376384471188433,2.7644553313166398e-14,2.9483169550173666e-14
shaft_A_steel_d20,20.0,210000.0,1260.5770010962717,0.0005537884753731581,73.60183982908099,2,exact,0.0022105638440444507,0.0022105638440444546,3.903127820947816e-18,1.7656707049938177e-15
shaft_A_steel_d20,20.0,210000.0,947.7171222051207,0.0009797724380019549,55.33475842503627,1,single_point,0.7502449431097532,0.7502449431095005,2.5268676040468563e-13,3.3680568289789225e-13
shaft_A_steel_d20,20.0,210000.0,947.7171222051207,0.0009797724380019549,55.33475842503627,1,exact,0.0009790531771911727,0.0009790531771911718,8.673617379884035e-19,8.859189247276615e-16
shaft_A_steel_d20,20.0,210000.0,947.7171222051207,0.0009797724380019549,55.33475842503627,2,single_point,0.9377449431094224,0.9377449431095005,7.815970093361102e-14,8.33485709604987e-14
shaft_A_steel_d20,20.0,210000.0,947.7171222051207,0.0009797724380019549,55.33475842503627,2,exact,0.003904746653444385,0.003904746653444387,1.734723475976807e-18,4.442601863674313e-16
shaft_A_steel_d20,20.0,210000.0,712.5052598450201,0.0017334308548430013,41.60134443741598,1,single_point,0.750433357713931,0.7504333577137108,2.2026824808563106e-13,2.935213977650272e-13
shaft_A_steel_d20,20.0,210000.0,712.5052598450201,0.0017334308548430013,41.60134443741598,1,exact,0.0017311811676238504,0.0017311811676238497,6.505213034913027e-19,3.7576731751546387e-16
shaft_A_steel_d20,20.0,210000.0,712.5052598450201,0.0017334308548430013,41.60134443741598,2,single_point,0.9379333577137293,0.9379333577137108,1.8540724511240114e-14,1.9767635257620698e-14
shaft_A_steel_d20,20.0,210000.0,712.5052598450201,0.0017334308548430013,41.60134443741598,2,exact,0.0068889620444378425,0.006888962044437843,8.673617379884035e-19,1.2590601202233542e-16
shaft_A_steel_d20,20.0,210000.0,535.6701207693728,0.0030668167545612707,31.276396757837418,1,single_point,0.7507667041886202,0.7507667041886403,2.0095036745715333e-14,2.6766020167919144e-14
shaft_A_steel_d20,20.0,210000.0,535.6701207693728,0.0030668167545612707,31.276396757837418,1,exact,0.0030597842980621447,0.0030597842980621443,4.336808689942018e-19,1.41735765252755e-16
shaft_A_steel_d20,20.0,210000.0,535.6701207693728,0.0030668167545612707,31.276396757837418,2,single_point,0.9382667041886305,0.9382667041886403,9.880984919163893e-15,1.0531104722199863e-14
shaft_A_steel_d20,20.0,210000.0,535.6701207693728,0.0030668167545612707,31.276396757837418,2,exact,0.01212789624168482,0.01212789624168482,0.0,0.0
shaft_A_steel_d20,20.0,210000.0,402.72331231279435,0.005425866846537448,23.513975506855626,1,single_point,0.7513564667115943,0.7513564667116344,4.007905118896815e-14,5.334225892055871e-14
shaft_A_steel_d20,20.0,210000.0,402.72331231279435,0.005425866846537448,23.513975506855626,1,exact,0.005403905979997859,0.00540390597999786,8.673617379884035e-19,1.6050644500457186e-16
shaft_A_steel_d20,20.0,210000.0,402.72331231279435,0.005425866846537448,23.513975506855626,2,single_point,0.9388564667115872,0.9388564667116344,4.718447854656915e-14,5.025739313681658e-14
shaft_A_steel_d20,20.0,210000.0,402.72331231279435,0.005425866846537448,23.513975506855626,2,exact,0.02127124758887815,0.02127124758887821,5.898059818321144e-17,2.7727850910846328e-15
shaft_A_steel_d20,20.0,210000.0,302.77228464272696,0.00959954030268295,17.67809279368013,1,single_point,0.7523998850756501,0.7523998850756707,2.0539125955565396e-14,2.729815137265701e-14
shaft_A_steel_d20,20.0,210000.0,302.77228464272696,0.00959954030268295,17.67809279368013,1,exact,0.009531084070525392,0.009531084070525392,0.0,0.0
shaft_A_steel_d20,20.0,210000.0,302.77228464272696,0.00959954030268295,17.67809279368013,2,single_point,0.939899885075646,0.9398998850756707,2.4646951146678475e-14,2.6222953676278157e-14
shaft_A_steel_d20,20.0,210000.0,302.77228464272696,0.00959954030268295,17.67809279368013,2,exact,0.03706700745682785,0.037067007456827956,1.0408340855860843e-16,2.807979810073275e-15
shaft_A_steel_d20,20.0,210000.0,227.62788630566217,0.016983677747573405,13.290605186300791,1,single_point,0.7542459194368863,0.7542459194368933,6.994405055138486e-15,9.273374737460145e-15
shaft_A_steel_d20,20.0,210000.0,227.62788630566217,0.016983677747573405,13.290605186300791,1,exact,0.016770956553410085,0.01677095655341009,3.469446951953614e-18,2.068723355703978e-16
shaft_A_steel_d20,20.0,210000.0,227.62788630566217,0.016983677747573405,13.290605186300791,2,single_point,0.9417459194368841,0.9417459194368933,9.2148511043888e-15,9.78485907313378e-15
shaft_A_steel_d20,20.0,210000.0,227.62788630566217,0.016983677747573405,13.290605186300791,2,exact,0.06388326514536052,0.06388326514536066,1.3877787807814457e-16,2.172366702959968e-15
shaft_A_steel_d20,20.0,210000.0,171.13341363171605,0.030047825285217385,9.99203863672861,1,single_point,0.7575119563213086,0.7575119563213043,4.3298697960381105e-15,5.715909511270558e-15
shaft_A_steel_d20,20.0,210000.0,171.13341363171605,0.030047825285217385,9.99203863672861,1,exact,0.029390424884327554,0.029390424884327544,1.0408340855860843e-17,3.541405371587906e-16
shaft_A_steel_d20,20.0,210000.0,171.13341363171605,0.030047825285217385,9.99203863672861,2,single_point,0.9450119563212761,0.9450119563213043,2.8199664825478976e-14,2.984053761103006e-14
shaft_A_steel_d20,20.0,210000.0,171.13341363171605,0.030047825285217385,9.99203863672861,2,exact,0.10810133306865607,0.1081013330686562,1.249000902703301e-16,1.1553982427858208e-15
